[14:03:32][jominiapplication.cpp:435]: ================ 删除存档 ================
[14:07:04][jominiapplication.cpp:435]: Processing Tick: 1843.7.14.18
[14:07:05][jominiapplication.cpp:435]: Processing Tick: 1843.7.15
[14:07:05][jominiapplication.cpp:435]: Processing Tick: 1843.7.15.6
[14:07:06][jominiapplication.cpp:435]: Processing Tick: 1843.7.15.12
[14:07:06][jominiapplication.cpp:435]: Processing Tick: 1843.7.15.18
[14:07:07][jominiapplication.cpp:435]: Processing Tick: 1843.7.16
[14:07:07][jominiapplication.cpp:435]: Processing Tick: 1843.7.16.6
[14:07:08][jominiapplication.cpp:435]: Processing Tick: 1843.7.16.12
[14:07:09][jominiapplication.cpp:435]: Processing Tick: 1843.7.16.18
[14:07:09][jominiapplication.cpp:435]: Processing Tick: 1843.7.17
[14:07:10][jominiapplication.cpp:435]: Processing Tick: 1843.7.17.6
[14:07:10][jominiapplication.cpp:435]: Processing Tick: 1843.7.17.12
[14:07:11][jominiapplication.cpp:435]: Processing Tick: 1843.7.17.18
[14:07:11][jominiapplication.cpp:435]: Processing Tick: 1843.7.18
[14:07:12][jominiapplication.cpp:435]: Processing Tick: 1843.7.18.6
[14:07:12][jominiapplication.cpp:435]: Processing Tick: 1843.7.18.12
[14:07:13][jominiapplication.cpp:435]: Processing Tick: 1843.7.18.18
[14:07:13][jominiapplication.cpp:435]: Processing Tick: 1843.7.19
[14:07:14][jominiapplication.cpp:435]: Processing Tick: 1843.7.19.6
[14:07:14][jominiapplication.cpp:435]: Processing Tick: 1843.7.19.12
[14:07:15][jominiapplication.cpp:435]: Processing Tick: 1843.7.19.18
[14:07:15][jominiapplication.cpp:435]: Processing Tick: 1843.7.20
[14:07:16][jominiapplication.cpp:435]: Processing Tick: 1843.7.20.6
[14:07:16][jominiapplication.cpp:435]: Processing Tick: 1843.7.20.12
[14:07:17][jominiapplication.cpp:435]: Processing Tick: 1843.7.20.18
[14:07:17][jominiapplication.cpp:435]: Processing Tick: 1843.7.21
[14:07:18][jominiapplication.cpp:435]: Processing Tick: 1843.7.21.6
[14:07:19][jominiapplication.cpp:435]: Processing Tick: 1843.7.21.12
[14:07:19][jominiapplication.cpp:435]: Processing Tick: 1843.7.21.18
[14:07:20][jominiapplication.cpp:435]: Processing Tick: 1843.7.22
[14:07:20][jominiapplication.cpp:435]: Processing Tick: 1843.7.22.6
[14:07:21][jominiapplication.cpp:435]: Processing Tick: 1843.7.22.12
[14:07:21][jominiapplication.cpp:435]: Processing Tick: 1843.7.22.18
[14:07:22][jominiapplication.cpp:435]: Processing Tick: 1843.7.23
[14:07:22][jominiapplication.cpp:435]: Processing Tick: 1843.7.23.6
[14:07:23][jominiapplication.cpp:435]: Processing Tick: 1843.7.23.12
[14:07:23][jominiapplication.cpp:435]: Processing Tick: 1843.7.23.18
[14:07:24][jominiapplication.cpp:435]: Processing Tick: 1843.7.24
[14:07:24][jominiapplication.cpp:435]: Processing Tick: 1843.7.24.6
[14:07:25][jominiapplication.cpp:435]: Processing Tick: 1843.7.24.12
[14:07:25][jominiapplication.cpp:435]: Processing Tick: 1843.7.24.18
[14:07:26][jominiapplication.cpp:435]: Processing Tick: 1843.7.25
[14:07:26][jominiapplication.cpp:435]: Processing Tick: 1843.7.25.6
