[21:27:04][jominiapplication.cpp:298]: Changing game speed to: 2
[21:27:08][jominiapplication.cpp:298]: ================ 读取存档失败 ================
[21:27:08][jominiapplication.cpp:298]: 无法加载该存档，可能是由于以下原因：
indent_newline:2 •存档创建于不兼容的游戏版本
•存档使用了不同的DLC加载集
•存档文件损坏!
[21:36:45][jominiapplication.cpp:298]: Processing Tick: 1836.2.25.18
[21:36:45][jominiapplication.cpp:298]: Processing Tick: 1836.2.26
[21:36:46][jominiapplication.cpp:298]: Processing Tick: 1836.2.26.6
[21:36:46][jominiapplication.cpp:298]: Processing Tick: 1836.2.26.12
[21:36:47][jominiapplication.cpp:298]: Processing Tick: 1836.2.26.18
[21:36:47][jominiapplication.cpp:298]: Processing Tick: 1836.2.27
[21:36:48][jominiapplication.cpp:298]: Processing Tick: 1836.2.27.6
[21:36:48][jominiapplication.cpp:298]: Processing Tick: 1836.2.27.12
[21:36:49][jominiapplication.cpp:298]: Processing Tick: 1836.2.27.18
[21:36:49][jominiapplication.cpp:298]: Processing Tick: 1836.2.28
[21:36:50][jominiapplication.cpp:298]: Processing Tick: 1836.2.28.6
[21:36:50][jominiapplication.cpp:298]: Processing Tick: 1836.2.28.12
[21:36:51][jominiapplication.cpp:298]: Processing Tick: 1836.2.28.18
[21:36:51][jominiapplication.cpp:298]: Processing Tick: 1836.3.1
[21:36:53][jominiapplication.cpp:298]: Processing Tick: 1836.3.1.6
[21:36:53][jominiapplication.cpp:298]: Processing Tick: 1836.3.1.12
[21:36:53][jominiapplication.cpp:298]: Processing Tick: 1836.3.1.18
[21:36:54][jominiapplication.cpp:298]: Processing Tick: 1836.3.2
[21:36:54][jominiapplication.cpp:298]: Processing Tick: 1836.3.2.6
[21:36:55][jominiapplication.cpp:298]: Processing Tick: 1836.3.2.12
[21:36:55][jominiapplication.cpp:298]: Processing Tick: 1836.3.2.18
[21:36:56][jominiapplication.cpp:298]: Processing Tick: 1836.3.3
[21:36:57][jominiapplication.cpp:298]: Processing Tick: 1836.3.3.6
[21:36:57][jominiapplication.cpp:298]: Processing Tick: 1836.3.3.12
[21:36:58][jominiapplication.cpp:298]: Processing Tick: 1836.3.3.18
[21:36:58][jominiapplication.cpp:298]: Processing Tick: 1836.3.4
[21:37:03][jominiapplication.cpp:298]: Processing Tick: 1836.3.4.6
[21:37:04][jominiapplication.cpp:298]: Processing Tick: 1836.3.4.12
[21:37:04][jominiapplication.cpp:298]: Processing Tick: 1836.3.4.18
[21:37:05][jominiapplication.cpp:298]: Processing Tick: 1836.3.5
[21:37:05][jominiapplication.cpp:298]: Processing Tick: 1836.3.5.6
[21:37:06][jominiapplication.cpp:298]: Processing Tick: 1836.3.5.12
[21:37:06][jominiapplication.cpp:298]: Processing Tick: 1836.3.5.18
[21:37:07][jominiapplication.cpp:298]: Processing Tick: 1836.3.6
[21:37:07][jominiapplication.cpp:298]: Processing Tick: 1836.3.6.6
[21:37:08][jominiapplication.cpp:298]: Processing Tick: 1836.3.6.12
[21:37:08][jominiapplication.cpp:298]: Processing Tick: 1836.3.6.18
[21:37:09][jominiapplication.cpp:298]: Processing Tick: 1836.3.7
[21:37:09][jominiapplication.cpp:298]: Processing Tick: 1836.3.7.6
[21:37:10][jominiapplication.cpp:298]: Processing Tick: 1836.3.7.12
[21:37:10][jominiapplication.cpp:298]: Processing Tick: 1836.3.7.18
[21:37:11][jominiapplication.cpp:298]: Processing Tick: 1836.3.8
[21:37:11][jominiapplication.cpp:298]: Processing Tick: 1836.3.8.6
[21:37:12][jominiapplication.cpp:298]: Processing Tick: 1836.3.8.12
[21:37:12][jominiapplication.cpp:298]: Processing Tick: 1836.3.8.18
[21:37:13][jominiapplication.cpp:298]: Processing Tick: 1836.3.9
[21:37:13][jominiapplication.cpp:298]: Processing Tick: 1836.3.9.6
[21:37:14][jominiapplication.cpp:298]: Processing Tick: 1836.3.9.12
[21:37:14][jominiapplication.cpp:298]: Processing Tick: 1836.3.9.18
[21:37:15][jominiapplication.cpp:298]: Processing Tick: 1836.3.10
[21:37:16][jominiapplication.cpp:298]: Processing Tick: 1836.3.10.6
[21:37:16][jominiapplication.cpp:298]: Processing Tick: 1836.3.10.12
[21:37:17][jominiapplication.cpp:298]: Processing Tick: 1836.3.10.18
[21:37:17][jominiapplication.cpp:298]: Processing Tick: 1836.3.11
[21:37:18][jominiapplication.cpp:298]: Processing Tick: 1836.3.11.6
[21:37:18][jominiapplication.cpp:298]: Processing Tick: 1836.3.11.12
[21:37:19][jominiapplication.cpp:298]: Processing Tick: 1836.3.11.18
[21:37:19][jominiapplication.cpp:298]: Processing Tick: 1836.3.12
[21:37:20][jominiapplication.cpp:298]: Processing Tick: 1836.3.12.6
[21:37:20][jominiapplication.cpp:298]: Processing Tick: 1836.3.12.12
[21:37:21][jominiapplication.cpp:298]: Processing Tick: 1836.3.12.18
[21:37:21][jominiapplication.cpp:298]: Processing Tick: 1836.3.13
[21:37:22][jominiapplication.cpp:298]: Processing Tick: 1836.3.13.6
[21:37:22][jominiapplication.cpp:298]: Processing Tick: 1836.3.13.12
[21:37:23][jominiapplication.cpp:298]: Processing Tick: 1836.3.13.18
[21:37:23][jominiapplication.cpp:298]: Processing Tick: 1836.3.14
[21:37:24][jominiapplication.cpp:298]: Processing Tick: 1836.3.14.6
[21:37:24][jominiapplication.cpp:298]: Processing Tick: 1836.3.14.12
[21:37:25][jominiapplication.cpp:298]: Processing Tick: 1836.3.14.18
[21:37:25][jominiapplication.cpp:298]: Processing Tick: 1836.3.15
[21:37:26][jominiapplication.cpp:298]: Processing Tick: 1836.3.15.6
[21:37:26][jominiapplication.cpp:298]: Processing Tick: 1836.3.15.12
[21:37:27][jominiapplication.cpp:298]: Processing Tick: 1836.3.15.18
[21:37:27][jominiapplication.cpp:298]: Processing Tick: 1836.3.16
[21:37:28][jominiapplication.cpp:298]: Processing Tick: 1836.3.16.6
[21:37:28][jominiapplication.cpp:298]: Processing Tick: 1836.3.16.12
[21:37:29][jominiapplication.cpp:298]: Processing Tick: 1836.3.16.18
[21:37:29][jominiapplication.cpp:298]: Processing Tick: 1836.3.17
[21:37:30][jominiapplication.cpp:298]: Processing Tick: 1836.3.17.6
[21:37:31][jominiapplication.cpp:298]: Processing Tick: 1836.3.17.12
[21:37:31][jominiapplication.cpp:298]: Processing Tick: 1836.3.17.18
[21:37:32][jominiapplication.cpp:298]: Processing Tick: 1836.3.18
[21:37:32][jominiapplication.cpp:298]: Processing Tick: 1836.3.18.6
[21:37:33][jominiapplication.cpp:298]: Processing Tick: 1836.3.18.12
[21:37:33][jominiapplication.cpp:298]: Processing Tick: 1836.3.18.18
[21:37:34][jominiapplication.cpp:298]: Processing Tick: 1836.3.19
[21:37:34][jominiapplication.cpp:298]: Processing Tick: 1836.3.19.6
[21:37:35][jominiapplication.cpp:298]: Processing Tick: 1836.3.19.12
[21:37:35][jominiapplication.cpp:298]: Processing Tick: 1836.3.19.18
[21:37:36][jominiapplication.cpp:298]: Processing Tick: 1836.3.20
[21:37:36][jominiapplication.cpp:298]: Processing Tick: 1836.3.20.6
[21:37:37][jominiapplication.cpp:298]: Processing Tick: 1836.3.20.12
[21:37:37][jominiapplication.cpp:298]: Processing Tick: 1836.3.20.18
[21:37:38][jominiapplication.cpp:298]: Processing Tick: 1836.3.21
[21:37:38][jominiapplication.cpp:298]: Processing Tick: 1836.3.21.6
[21:37:39][jominiapplication.cpp:298]: Processing Tick: 1836.3.21.12
[21:37:39][jominiapplication.cpp:298]: Processing Tick: 1836.3.21.18
[21:37:40][jominiapplication.cpp:298]: Processing Tick: 1836.3.22
[21:37:40][jominiapplication.cpp:298]: Processing Tick: 1836.3.22.6
[21:37:41][jominiapplication.cpp:298]: Processing Tick: 1836.3.22.12
[21:37:41][jominiapplication.cpp:298]: Processing Tick: 1836.3.22.18
[21:37:42][jominiapplication.cpp:298]: Processing Tick: 1836.3.23
[21:37:42][jominiapplication.cpp:298]: Processing Tick: 1836.3.23.6
[21:37:43][jominiapplication.cpp:298]: Processing Tick: 1836.3.23.12
[21:37:43][jominiapplication.cpp:298]: Processing Tick: 1836.3.23.18
[21:37:44][jominiapplication.cpp:298]: Processing Tick: 1836.3.24
[21:37:44][jominiapplication.cpp:298]: Processing Tick: 1836.3.24.6
[21:37:45][jominiapplication.cpp:298]: Processing Tick: 1836.3.24.12
[21:37:45][jominiapplication.cpp:298]: Processing Tick: 1836.3.24.18
[21:37:46][jominiapplication.cpp:298]: Processing Tick: 1836.3.25
[21:37:47][jominiapplication.cpp:298]: Processing Tick: 1836.3.25.6
[21:37:47][jominiapplication.cpp:298]: Processing Tick: 1836.3.25.12
[21:37:48][jominiapplication.cpp:298]: Processing Tick: 1836.3.25.18
[21:37:48][jominiapplication.cpp:298]: Processing Tick: 1836.3.26
[21:37:49][jominiapplication.cpp:298]: Processing Tick: 1836.3.26.6
[21:37:49][jominiapplication.cpp:298]: Processing Tick: 1836.3.26.12
[21:37:50][jominiapplication.cpp:298]: Processing Tick: 1836.3.26.18
[21:37:50][jominiapplication.cpp:298]: Processing Tick: 1836.3.27
[21:37:51][jominiapplication.cpp:298]: Processing Tick: 1836.3.27.6
[21:37:51][jominiapplication.cpp:298]: Processing Tick: 1836.3.27.12
[21:37:52][jominiapplication.cpp:298]: Processing Tick: 1836.3.27.18
[21:37:52][jominiapplication.cpp:298]: Processing Tick: 1836.3.28
[21:37:53][jominiapplication.cpp:298]: Processing Tick: 1836.3.28.6
[21:37:53][jominiapplication.cpp:298]: Processing Tick: 1836.3.28.12
[21:37:54][jominiapplication.cpp:298]: Processing Tick: 1836.3.28.18
[21:37:54][jominiapplication.cpp:298]: Processing Tick: 1836.3.29
[21:37:55][jominiapplication.cpp:298]: Processing Tick: 1836.3.29.6
